theta1,theta2,model,amplitude,shift
-0.100000,0.000000,param,3.4212231806,0.0190517971
-0.100000,0.000000,param,3.4619520265,0.0194868331
-0.100000,0.000000,param,3.5026808725,0.0199260480
-0.100000,0.000000,param,3.5434097184,0.0203694094
-0.100000,0.000000,param,3.5841385643,0.0208168845
-0.100000,0.000000,param,3.6248674103,0.0212684401
-0.100000,0.000000,param,3.6655962562,0.0217240426
-0.100000,0.000000,param,3.7063251022,0.0221836580
-0.100000,0.000000,param,3.7470539481,0.0226472519
-0.100000,0.000000,param,3.7877827940,0.0231147892
-0.100000,0.000000,param,3.8285116400,0.0235862346
-0.100000,0.000000,param,3.8692404859,0.0240615522
-0.100000,0.000000,param,3.9099693319,0.0245407056
-0.100000,0.000000,param,3.9506981778,0.0250236581
-0.100000,0.000000,param,3.9914270237,0.0255103720
-0.100000,0.000000,param,4.0321558697,0.0260008096
-0.100000,0.000000,param,4.0728847156,0.0264949323
-0.100000,0.000000,param,4.1136135616,0.0269927010
-0.100000,0.000000,param,4.1543424075,0.0274940758
-0.100000,0.000000,param,4.1950712534,0.0279990166
-0.100000,0.000000,param,4.2358000994,0.0285074823
-0.100000,0.000000,param,4.2765289453,0.0290194312
-0.100000,0.000000,param,4.3172577913,0.0295348209
-0.100000,0.000000,param,4.3579866372,0.0300536084
-0.100000,0.000000,param,4.3987154831,0.0305757497
-0.100000,0.000000,param,4.4394443291,0.0311012002
-0.100000,0.000000,param,4.4801731750,0.0316299145
-0.100000,0.000000,param,4.5209020210,0.0321618463
-0.100000,0.000000,param,4.5616308669,0.0326969484
-0.100000,0.000000,param,4.6023597128,0.0332351727
-0.100000,0.000000,param,4.6430885588,0.0337764703
-0.100000,0.000000,param,4.6838174047,0.0343207910
-0.100000,0.000000,param,4.7245462507,0.0348680840
-0.100000,0.000000,param,4.7652750966,0.0354182971
-0.100000,0.000000,param,4.8060039425,0.0359713773
-0.100000,0.000000,param,4.8467327885,0.0365272702
-0.100000,0.000000,param,4.8874616344,0.0370859205
-0.100000,0.000000,param,4.9281904803,0.0376472714
-0.100000,0.000000,param,4.9689193263,0.0382112651
-0.100000,0.000000,param,5.0096481722,0.0387778423
-0.100000,0.000000,param,5.0503770182,0.0393469425
-0.100000,0.000000,param,5.0911058641,0.0399185038
-0.100000,0.000000,param,5.1318347100,0.0404924626
-0.100000,0.000000,param,5.1725635560,0.0410687541
-0.100000,0.000000,param,5.2132924019,0.0416473119
-0.100000,0.000000,param,5.2540212479,0.0422280677
-0.100000,0.000000,param,5.2947500938,0.0428109518
-0.100000,0.000000,param,5.3354789397,0.0433958928
-0.100000,0.000000,param,5.3762077857,0.0439828174
-0.100000,0.000000,param,5.4169366316,0.0445716505
-0.100000,0.000000,param,5.4576654776,0.0451623149
-0.100000,0.000000,param,5.4983943235,0.0457547317
-0.100000,0.000000,param,5.5391231694,0.0463488198
-0.100000,0.000000,param,5.5798520154,0.0469444961
-0.100000,0.000000,param,5.6205808613,0.0475416751
-0.100000,0.000000,param,5.6613097073,0.0481402691
-0.100000,0.000000,param,5.7020385532,0.0487401883
-0.100000,0.000000,param,5.7427673991,0.0493413403
-0.100000,0.000000,param,5.7834962451,0.0499436301
-0.100000,0.000000,param,5.8242250910,0.0505469602
-0.100000,0.000000,param,5.8649539370,0.0511512307
-0.100000,0.000000,param,5.9056827829,0.0517563386
-0.100000,0.000000,param,5.9464116288,0.0523621782
-0.100000,0.000000,param,5.9871404748,0.0529686410
-0.100000,0.000000,param,6.0278693207,0.0535756153
-0.100000,0.000000,param,6.0685981667,0.0541829864
-0.100000,0.000000,param,6.1093270126,0.0547906364
-0.100000,0.000000,param,6.1500558585,0.0553984441
-0.100000,0.000000,param,6.1907847045,0.0560062848
-0.100000,0.000000,param,6.2315135504,0.0566140304
-0.100000,0.000000,param,6.2722423963,0.0572215492
-0.100000,0.000000,param,6.3129712423,0.0578287058
-0.100000,0.000000,param,6.3537000882,0.0584353608
-0.100000,0.000000,param,6.3944289342,0.0590413710
-0.100000,0.000000,param,6.4351577801,0.0596465892
-0.100000,0.000000,param,6.4758866260,0.0602508640
-0.100000,0.000000,param,6.5166154720,0.0608540395
-0.100000,0.000000,param,6.5573443179,0.0614559556
-0.100000,0.000000,param,6.5980731639,0.0620564476
-0.100000,0.000000,param,6.6388020098,0.0626553461
-0.100000,0.000000,param,6.6795308557,0.0632524770
-0.100000,0.000000,param,6.7202597017,0.0638476611
-0.100000,0.000000,param,6.7609885476,0.0644407142
-0.100000,0.000000,param,6.8017173936,0.0650314469
-0.100000,0.000000,param,6.8424462395,0.0656196644
-0.100000,0.000000,param,6.8831750854,0.0662051665
-0.100000,0.000000,param,6.9239039314,0.0667877472
-0.100000,0.000000,param,6.9646327773,0.0673671948
-0.100000,0.000000,param,7.0053616233,0.0679432916
-0.100000,0.000000,param,7.0460904692,0.0685158138
-0.100000,0.000000,param,7.0868193151,0.0690845312
-0.100000,0.000000,param,7.1275481611,0.0696492075
-0.100000,0.000000,param,7.1682770070,0.0702095993
-0.100000,0.000000,param,7.2090058530,0.0707654569
-0.100000,0.000000,param,7.2497346989,0.0713165233
-0.100000,0.000000,param,7.2904635448,0.0718625345
-0.100000,0.000000,param,7.3311923908,0.0724032193
-0.100000,0.000000,param,7.3719212367,0.0729382988
-0.100000,0.000000,param,7.4126500827,0.0734674865
-0.100000,0.000000,param,7.4533789286,0.0739904880
-0.100000,0.000000,param,7.4941077745,0.0745070010
-0.100000,0.000000,param,7.5348366205,0.0750167148
-0.100000,0.000000,param,7.5755654664,0.0755193101
-0.100000,0.000000,param,7.6162943123,0.0760144591
-0.100000,0.000000,param,7.6570231583,0.0765018252
-0.100000,0.000000,param,7.6977520042,0.0769810625
-0.100000,0.000000,param,7.7384808502,0.0774518160
-0.100000,0.000000,param,7.7792096961,0.0779137209
-0.100000,0.000000,param,7.8199385420,0.0783664029
-0.100000,0.000000,param,7.8606673880,0.0788094777
-0.100000,0.000000,param,7.9013962339,0.0792425506
-0.100000,0.000000,param,7.9421250799,0.0796652167
-0.100000,0.000000,param,7.9828539258,0.0800770601
-0.100000,0.000000,param,8.0235827717,0.0804776543
-0.100000,0.000000,param,8.0643116177,0.0808665615
-0.100000,0.000000,param,8.1050404636,0.0812433324
-0.100000,0.000000,param,8.1457693096,0.0816075060
-0.100000,0.000000,param,8.1864981555,0.0819586095
-0.100000,0.000000,param,8.2272270014,0.0822961579
-0.100000,0.000000,param,8.2679558474,0.0826196534
-0.100000,0.000000,param,8.3086846933,0.0829285859
-0.100000,0.000000,param,8.3494135393,0.0832224319
-0.100000,0.000000,param,8.3901423852,0.0835006549
