order,eta,Re,rho,omega,T,avg_TKE,max_abs_lift
3.0000000000e+00,-4.2727479992e-04,5.0079121720e+01,9.2584912454e-01,1.6945003234e+01,3.7079870810e-01,2.2579405054e-03,5.3931608842e-03
3.0000000000e+00,-4.3690594307e-04,5.0103287490e+01,9.3584911990e-01,1.6946888604e+01,3.7075745610e-01,2.2961091467e-03,5.4471952051e-03
3.0000000000e+00,-4.4663793439e-04,5.0127730010e+01,9.4584911517e-01,1.6948794092e+01,3.7071577320e-01,2.3343123950e-03,5.5012267410e-03
3.0000000000e+00,-4.5647069211e-04,5.0152449840e+01,9.5584911033e-01,1.6950719694e+01,3.7067365990e-01,2.3725442938e-03,5.5552554076e-03
3.0000000000e+00,-4.6640413372e-04,5.0177447570e+01,9.6584910540e-01,1.6952665403e+01,3.7063111660e-01,2.4107991468e-03,5.6092811201e-03
3.0000000000e+00,-4.7643817595e-04,5.0202723770e+01,9.7584910036e-01,1.6954631217e+01,3.7058814350e-01,2.4490715288e-03,5.6633037929e-03
3.0000000000e+00,-4.8657273479e-04,5.0228279030e+01,9.8584909523e-01,1.6956617131e+01,3.7054474120e-01,2.4873562955e-03,5.7173233398e-03
3.0000000000e+00,-4.9680772547e-04,5.0254113970e+01,9.9584908999e-01,1.6958623141e+01,3.7050091010e-01,2.5256485946e-03,5.7713396736e-03
3.0000000000e+00,-5.0714306248e-04,5.0280229180e+01,1.0058490846e+00,1.6960649241e+01,3.7045665040e-01,2.5639438760e-03,5.8253527066e-03
3.0000000000e+00,-5.1757865957e-04,5.0306625280e+01,1.0158490792e+00,1.6962695428e+01,3.7041196280e-01,2.6022379029e-03,5.8793623502e-03
3.0000000000e+00,-5.2811442977e-04,5.0333302890e+01,1.0258490737e+00,1.6964761697e+01,3.7036684740e-01,2.6405267626e-03,5.9333685154e-03
3.0000000000e+00,-5.3875028536e-04,5.0360262640e+01,1.0358490680e+00,1.6966848044e+01,3.7032130490e-01,2.6788068774e-03,5.9873711119e-03
3.0000000000e+00,-5.4948613789e-04,5.0387505160e+01,1.0458490622e+00,1.6968954463e+01,3.7027533550e-01,2.7170750158e-03,6.0413700491e-03
3.0000000000e+00,-5.6032189818e-04,5.0415031110e+01,1.0558490564e+00,1.6971080950e+01,3.7022893980e-01,2.7553283036e-03,6.0953652354e-03
3.0000000000e+00,-5.7125747635e-04,5.0442841130e+01,1.0658490504e+00,1.6973227500e+01,3.7018211810e-01,2.7935642354e-03,6.1493565786e-03
3.0000000000e+00,-5.8229278178e-04,5.0470935890e+01,1.0758490443e+00,1.6975394109e+01,3.7013487090e-01,2.8317806859e-03,6.2033439856e-03
3.0000000000e+00,-5.9342772315e-04,5.0499316040e+01,1.0858490381e+00,1.6977580772e+01,3.7008719860e-01,2.8699759215e-03,6.2573273625e-03
3.0000000000e+00,-6.0466220840e-04,5.0527982280e+01,1.0958490318e+00,1.6979787484e+01,3.7003910170e-01,2.9081486120e-03,6.3113066147e-03
3.0000000000e+00,-6.1599614481e-04,5.0556935270e+01,1.1058490254e+00,1.6982014240e+01,3.6999058050e-01,2.9462978423e-03,6.3652816468e-03
3.0000000000e+00,-6.2742943890e-04,5.0586175710e+01,1.1158490188e+00,1.6984261035e+01,3.6994163560e-01,2.9844231244e-03,6.4192523626e-03
3.0000000000e+00,-6.3896199654e-04,5.0615704310e+01,1.1258490122e+00,1.6986527865e+01,3.6989226740e-01,3.0225244092e-03,6.4732186652e-03
3.0000000000e+00,-6.5059372287e-04,5.0645521760e+01,1.1358490054e+00,1.6988814723e+01,3.6984247630e-01,3.0606020989e-03,6.5271804566e-03
3.0000000000e+00,-6.6232452234e-04,5.0675628780e+01,1.1458489985e+00,1.6991121607e+01,3.6979226280e-01,3.0986570589e-03,6.5811376384e-03
3.0000000000e+00,-6.7415429874e-04,5.0706026100e+01,1.1558489915e+00,1.6993448509e+01,3.6974162740e-01,3.1366906306e-03,6.6350901111e-03
3.0000000000e+00,-6.8608295513e-04,5.0736714440e+01,1.1658489844e+00,1.6995795426e+01,3.6969057050e-01,3.1747046434e-03,6.6890377744e-03
3.0000000000e+00,-6.9811039392e-04,5.0767694550e+01,1.1758489772e+00,1.6998162352e+01,3.6963909260e-01,3.2127014273e-03,6.7429805273e-03
3.0000000000e+00,-7.1023651683e-04,5.0798967170e+01,1.1858489698e+00,1.7000549282e+01,3.6958719410e-01,3.2506838259e-03,6.7969182680e-03
3.0000000000e+00,-7.2246122490e-04,5.0830533060e+01,1.1958489624e+00,1.7002956211e+01,3.6953487550e-01,3.2886552091e-03,6.8508508937e-03
3.0000000000e+00,-7.3478441852e-04,5.0862392990e+01,1.2058489548e+00,1.7005383134e+01,3.6948213740e-01,3.3266194857e-03,6.9047783009e-03
3.0000000000e+00,-7.4720599739e-04,5.0894547710e+01,1.2158489471e+00,1.7007830045e+01,3.6942898010e-01,3.3645811169e-03,6.9587003852e-03
3.0000000000e+00,-7.5972586056e-04,5.0926998030e+01,1.2258489392e+00,1.7010296939e+01,3.6937540420e-01,3.4025451288e-03,7.0126170413e-03
3.0000000000e+00,-7.7234390641e-04,5.0959744720e+01,1.2358489313e+00,1.7012783811e+01,3.6932141010e-01,3.4405171263e-03,7.0665281633e-03
3.0000000000e+00,-7.8506003269e-04,5.0992788590e+01,1.2458489232e+00,1.7015290655e+01,3.6926699840e-01,3.4785033063e-03,7.1204336442e-03
3.0000000000e+00,-7.9787413647e-04,5.1026130430e+01,1.2558489150e+00,1.7017817466e+01,3.6921216950e-01,3.5165104707e-03,7.1743333761e-03
3.0000000000e+00,-8.1078611418e-04,5.1059771070e+01,1.2658489066e+00,1.7020364239e+01,3.6915692400e-01,3.5545460406e-03,7.2282272505e-03
3.0000000000e+00,-8.2379586162e-04,5.1093711330e+01,1.2758488982e+00,1.7022930967e+01,3.6910126220e-01,3.5926180697e-03,7.2821151578e-03
3.0000000000e+00,-8.3690327393e-04,5.1127952050e+01,1.2858488896e+00,1.7025517647e+01,3.6904518490e-01,3.6307352581e-03,7.3360028265e-03
3.0000000000e+00,-8.5010824564e-04,5.1162494050e+01,1.2958488809e+00,1.7028124272e+01,3.6898869230e-01,3.6689069664e-03,7.3899573378e-03
3.0000000000e+00,-8.6341067062e-04,5.1197338210e+01,1.3058488720e+00,1.7030750836e+01,3.6893178510e-01,3.7071432296e-03,7.4439073182e-03
3.0000000000e+00,-8.7681044213e-04,5.1232485360e+01,1.3158488630e+00,1.7033397334e+01,3.6887446370e-01,3.7454547714e-03,7.4978526661e-03
3.0000000000e+00,-8.9030745281e-04,5.1267936390e+01,1.3258488539e+00,1.7036063761e+01,3.6881672880e-01,3.7838530181e-03,7.5517932788e-03
3.0000000000e+00,-9.0390159467e-04,5.1303692170e+01,1.3358488447e+00,1.7038750110e+01,3.6875858070e-01,3.8223501136e-03,7.6057290529e-03
3.0000000000e+00,-9.1759275910e-04,5.1339753590e+01,1.3458488353e+00,1.7041456377e+01,3.6870002000e-01,3.8609589333e-03,7.6596598837e-03
3.0000000000e+00,-9.3138083689e-04,5.1376121540e+01,1.3558488258e+00,1.7044182554e+01,3.6864104730e-01,3.8996930994e-03,7.7135856658e-03
3.0000000000e+00,-9.4526571823e-04,5.1412796930e+01,1.3658488162e+00,1.7046928637e+01,3.6858166310e-01,3.9385669947e-03,7.7675062929e-03
3.0000000000e+00,-9.5924729267e-04,5.1449780670e+01,1.3758488064e+00,1.7049694620e+01,3.6852186780e-01,3.9775957784e-03,7.8214216575e-03
3.0000000000e+00,-9.7332544921e-04,5.1487073690e+01,1.3858487965e+00,1.7052480498e+01,3.6846166210e-01,4.0167954004e-03,7.8753316514e-03
3.0000000000e+00,-9.8750007622e-04,5.1524676920e+01,1.3958487864e+00,1.7055286263e+01,3.6840104650e-01,4.0561826169e-03,7.9292361652e-03
3.0000000000e+00,-1.0017710615e-03,5.1562591300e+01,1.4058487763e+00,1.7058111910e+01,3.6834002150e-01,4.0957750049e-03,7.9831350887e-03
3.0000000000e+00,-1.0161382922e-03,5.1600817780e+01,1.4158487659e+00,1.7060957434e+01,3.6827858760e-01,4.1355909783e-03,8.0370283106e-03
3.0000000000e+00,-1.0306016550e-03,5.1639357340e+01,1.4258487555e+00,1.7063822828e+01,3.6821674550e-01,4.1756498028e-03,8.0909157188e-03
3.0000000000e+00,-1.0451610360e-03,5.1678210930e+01,1.4358487449e+00,1.7066708087e+01,3.6815449560e-01,4.2159716117e-03,8.1447971999e-03
3.0000000000e+00,-1.0598163205e-03,5.1717379550e+01,1.4458487341e+00,1.7069613204e+01,3.6809183850e-01,4.2565774214e-03,8.1986726400e-03
3.0000000000e+00,-1.0745673935e-03,5.1756864180e+01,1.4558487233e+00,1.7072538174e+01,3.6802877480e-01,4.2974891471e-03,8.2525419236e-03
3.0000000000e+00,-1.0894141393e-03,5.1796665830e+01,1.4658487122e+00,1.7075482990e+01,3.6796530500e-01,4.3387296191e-03,8.3064049349e-03
3.0000000000e+00,-1.1043564417e-03,5.1836785500e+01,1.4758487011e+00,1.7078447646e+01,3.6790142980e-01,4.3803225983e-03,8.3602615564e-03
3.0000000000e+00,-1.1193941839e-03,5.1877224220e+01,1.4858486898e+00,1.7081432137e+01,3.6783714950e-01,4.4222927927e-03,8.4141116702e-03
3.0000000000e+00,-1.1345272485e-03,5.1917983030e+01,1.4958486783e+00,1.7084436455e+01,3.6777246490e-01,4.4646658735e-03,8.4679551570e-03
3.0000000000e+00,-1.1497555177e-03,5.1959062950e+01,1.5058486667e+00,1.7087460596e+01,3.6770737650e-01,4.5074684913e-03,8.5217918967e-03
3.0000000000e+00,-1.1650788730e-03,5.2000465060e+01,1.5158486550e+00,1.7090504552e+01,3.6764188490e-01,4.5507282929e-03,8.5756217680e-03
3.0000000000e+00,-1.1804971954e-03,5.2042190400e+01,1.5258486431e+00,1.7093568318e+01,3.6757599060e-01,4.5944739375e-03,8.6294446489e-03
3.0000000000e+00,-1.1960103654e-03,5.2084240060e+01,1.5358486311e+00,1.7096651886e+01,3.6750969420e-01,4.6387351140e-03,8.6832604160e-03
3.0000000000e+00,-1.2116182630e-03,5.2126615110e+01,1.5458486189e+00,1.7099755252e+01,3.6744299640e-01,4.6835425570e-03,8.7370689452e-03
3.0000000000e+00,-1.2273207675e-03,5.2169316660e+01,1.5558486066e+00,1.7102878408e+01,3.6737589760e-01,4.7289280645e-03,8.7908701111e-03
3.0000000000e+00,-1.2431177579e-03,5.2212345800e+01,1.5658485941e+00,1.7106021349e+01,3.6730839850e-01,4.7749245146e-03,8.8446637876e-03
3.0000000000e+00,-1.2590091126e-03,5.2255703660e+01,1.5758485815e+00,1.7109184067e+01,3.6724049970e-01,4.8215658825e-03,8.8984498473e-03
3.0000000000e+00,-1.2749947093e-03,5.2299391360e+01,1.5858485687e+00,1.7112366557e+01,3.6717220180e-01,4.8688872583e-03,8.9522281618e-03
3.0000000000e+00,-1.2910744255e-03,5.2343410040e+01,1.5958485557e+00,1.7115568812e+01,3.6710350540e-01,4.9169248639e-03,9.0059986017e-03
3.0000000000e+00,-1.3072481380e-03,5.2387760850e+01,1.6058485427e+00,1.7118790826e+01,3.6703441100e-01,4.9657160710e-03,9.0597610367e-03
