eta,Re,rho,omega,T
-9.104931504658e-04,51.32104747,1.425848882959e+00,17.0389586822,0.3687540667
-9.219880160627e-04,51.35134109,1.435848876352e+00,17.0412167565,0.3687052044
-9.335238391956e-04,51.38177863,1.445848869698e+00,17.0434840821,0.3686561549
-9.450998835420e-04,51.41235859,1.455848862998e+00,17.0457605732,0.3686069202
-9.567154065405e-04,51.44307944,1.465848856252e+00,17.0480461449,0.3685575024
-9.683696593074e-04,51.47393964,1.475848849461e+00,17.0503407135,0.3685079033
-9.800618865556e-04,51.50493763,1.485848842626e+00,17.0526441964,0.3684581250
-9.917913265116e-04,51.53607181,1.495848835747e+00,17.0549565124,0.3684081694
-1.003557210835e-03,51.56734057,1.505848828825e+00,17.0572775813,0.3683580382
-1.015358764537e-03,51.59874226,1.515848821861e+00,17.0596073247,0.3683077334
-1.027195205901e-03,51.63027522,1.525848814856e+00,17.0619456653,0.3682572568
-1.039065746398e-03,51.66193775,1.535848807811e+00,17.0642925276,0.3682066102
-1.050969590610e-03,51.69372813,1.545848800725e+00,17.0666478373,0.3681557953
-1.062905936143e-03,51.72564463,1.555848793602e+00,17.0690115223,0.3681048137
-1.074873973548e-03,51.75768545,1.565848786440e+00,17.0713835118,0.3680536673
-1.086872886232e-03,51.78984881,1.575848779241e+00,17.0737637369,0.3680023575
-1.098901850378e-03,51.82213287,1.585848772006e+00,17.0761521308,0.3679508861
-1.110960034850e-03,51.85453578,1.595848764736e+00,17.0785486286,0.3678992544
-1.123046601106e-03,51.88705564,1.605848757432e+00,17.0809531672,0.3678474641
-1.135160703104e-03,51.91969054,1.615848750095e+00,17.0833656860,0.3677955166
-1.147301487205e-03,51.95243854,1.625848742725e+00,17.0857861264,0.3677434132
-1.159468092068e-03,51.98529766,1.635848735323e+00,17.0882144322,0.3676911553
-1.171659648551e-03,52.01826588,1.645848727892e+00,17.0906505496,0.3676387443
-1.183875279592e-03,52.05134118,1.655848720431e+00,17.0930944273,0.3675861813
-1.196114100101e-03,52.08452147,1.665848712941e+00,17.0955460164,0.3675334676
-1.208375216825e-03,52.11780465,1.675848705424e+00,17.0980052708,0.3674806042
-1.220657728230e-03,52.15118858,1.685848697881e+00,17.1004721471,0.3674275922
-1.232960724349e-03,52.18467109,1.695848690313e+00,17.1029466047,0.3673744327
-1.245283286645e-03,52.21824998,1.705848682721e+00,17.1054286061,0.3673211266
-1.257624487844e-03,52.25192300,1.715848675106e+00,17.1079181164,0.3672676748
-1.269983391771e-03,52.28568786,1.725848667469e+00,17.1104151041,0.3672140780
-1.282359053166e-03,52.31954227,1.735848659811e+00,17.1129195409,0.3671603371
-1.294750517491e-03,52.35348386,1.745848652133e+00,17.1154314015,0.3671064526
-1.307156820721e-03,52.38751024,1.755848644438e+00,17.1179506640,0.3670524253
-1.319576989117e-03,52.42161898,1.765848636725e+00,17.1204773100,0.3669982556
-1.332010038987e-03,52.45580760,1.775848628995e+00,17.1230113247,0.3669439439
-1.344454976426e-03,52.49007361,1.785848621252e+00,17.1255526965,0.3668894907
-1.356910797031e-03,52.52441444,1.795848613494e+00,17.1281014178,0.3668348963
